event_id,event_name,event_type,event_category,venue_name,area,city,country,latitude,longitude,venue_capacity,venue_transport_score,venue_nearby_bars,venue_parking_spaces,avg_taxi_wait_pre_event_mins,venue_historical_perf_index,event_date,day_of_week,day_of_week_num,month,season,start_hour,start_minute,end_hour,duration_hours,is_weekend,is_public_holiday,is_detty_december,expected_attendance,attendance_fill_rate,pre_book_ride_rate,base_ride_seeking_rate,weather_condition,weather_ride_uplift,weather_att_impact,social_buzz_score,nearby_competing_events,driver_supply_index,fuel_availability_index,road_congestion_index,security_index,power_reliability_index,public_transport_disruption,tube_strike_active,actual_ride_requests,demand_score,demand_level,drivers_needed,optimal_radius_meters,peak_booking_window_mins,driver_acted_on_prediction,driver_feedback_score,is_late_night_end,is_evening_end,weekend_late_night,transport_crowd_pressure,rain_late_night,infrastructure_stress,uk_disruption_score,buzz_capacity_ratio,competition_pressure,driver_supply_gap,log_attendance,end_time_period
EVT00405,Half Marathon,Marathon/Run,Sports,Lekki Phase 1 Event Park,Lekki,Lagos,Nigeria,6.470555,3.484394,3000,6,14,600,18,0.943,2024-04-18,Thursday,3,4,Dry,9,30,12,3.9,0,0,0,1858,0.6193,0.195,0.335,Clear,1.0,1.0,4.0,0,0.26,0.8,0.85,0.85,0.9,0,0,379,11.96,Low,80,278,26,1,0.576,0,0,0,2.4772,0.0,0.17,0.0,0.4441,0.0,0.74,7.5278,Midday
EVT05222,Voter Mobilisation Drive,Political Rally,Politics,Nativeland Festival Grounds,Lekki,Lagos,Nigeria,6.440507,3.439207,10000,5,3,2000,22,0.947,2023-01-18,Wednesday,2,1,Harmattan,16,30,19,3.7,0,0,0,5624,0.5624,0.032,0.261,Partly Cloudy,1.02,1.0,26.9,0,0.661,0.9,0.55,1.0,0.9,0,0,1323,40.53,Medium,336,383,22,1,0.648,0,1,0,2.812,0.0,0.1975,0.0,2.6346,0.0,0.339,8.635,Evening
EVT03358,An Evening with Kizz Daniel,Concert,Music,Harbour Point,Victoria Island,Lagos,Nigeria,6.43452,3.425741,2500,7,11,400,10,0.887,2023-05-20,Saturday,5,5,Rainy,17,45,20,3.4,1,0,0,2199,0.8796,0.102,0.381,Partly Cloudy,1.02,1.0,46.1,0,0.43,0.8,1.0,1.0,0.9,0,0,582,20.47,Low,158,289,14,0,,0,1,0,2.6388,0.0,0.08,0.0,5.2241,0.0,0.57,7.6962,Evening
EVT07337,Afrorave,Club Night,Nightlife,O2 Arena,Greenwich,London,UK,51.503784,0.002491,20000,9,18,3000,4,1.084,2024-12-29,Sunday,6,12,Winter,19,15,2,7.8,1,0,1,13059,0.653,0.036,0.609,Clear,1.0,1.0,22.7,0,0.316,1.0,0.75,1.0,1.0,0,0,9611,83.24,Very High,1633,251,20,0,,1,0,1,0.653,1.0,0.0,0.0,2.0819,0.0,0.684,9.4773,Late Night
EVT08314,Friday Night Sessions,Club Night,Nightlife,Eko Hotel & Suites,Victoria Island,Lagos,Nigeria,6.429968,3.421828,5000,7,12,800,8,0.945,2024-12-07,Saturday,5,12,Harmattan,0,15,4,4.3,1,0,1,4657,0.9314,0.04,0.765,Clear,1.0,1.0,61.4,2,0.237,1.0,0.75,0.85,0.9,0,0,4305,68.17,High,817,354,15,1,0.558,1,0,1,2.7942,1.0,0.125,0.0,6.4513,0.26,0.763,8.4463,Late Night
EVT07717,Private Wedding Reception,Wedding,Private,Printworks London,Surrey Quays,London,UK,51.494568,-0.049832,6000,7,5,200,10,1.067,2024-07-14,Sunday,6,7,Summer,19,45,23,4.9,1,0,0,4690,0.7817,0.558,0.645,Overcast,1.04,0.98,2.2,1,0.29,1.0,0.88,1.0,1.0,0,0,2985,60.14,High,669,64,20,0,,1,0,1,2.3451,1.04,0.0,0.0,0.2268,0.12,0.71,8.4534,Night
EVT05944,Friday Night Sessions,Club Night,Nightlife,Landmark Event Centre,Victoria Island,Lagos,Nigeria,6.435861,3.42116,3000,7,8,500,10,1.038,2024-06-11,Tuesday,1,6,Rainy,20,30,1,5.0,0,0,0,2666,0.8887,0.04,0.533,Humid,1.08,0.97,18.7,3,0.114,1.0,1.0,1.0,1.0,0,0,1056,34.61,Medium,347,365,9,1,0.588,1,0,0,2.6661,1.08,0.0,0.0,2.0762,0.42,0.886,7.8887,Late Night
EVT14690,Wedding Gala Night,Wedding,Private,Emirates Stadium,Holloway,London,UK,51.554324,-0.108721,60260,9,22,2500,4,0.889,2023-09-09,Saturday,5,9,Autumn,19,15,23,4.1,1,0,0,44520,0.7388,0.395,0.628,Clear,1.0,1.0,32.6,1,0.234,1.0,1.0,1.0,1.0,0,0,25134,93.89,Very High,4926,175,9,1,0.925,1,0,1,0.7388,1.0,0.0,0.0,2.7152,0.12,0.766,10.7037,Night
EVT00101,Street Food Night,Food Festival,Lifestyle,Harbour Point,Victoria Island,Lagos,Nigeria,6.435302,3.425527,2500,7,11,400,10,0.887,2024-10-02,Wednesday,2,10,Dry,14,0,21,7.8,0,0,0,1833,0.7332,0.094,0.223,Partly Cloudy,1.02,1.0,29.0,2,0.016,1.0,1.0,1.0,0.9,0,0,383,12.16,Low,97,311,18,0,,0,1,0,2.1996,0.0,0.0,0.0,3.2863,0.26,0.984,7.5143,Evening
EVT11415,Shooting Stars vs Lobi Stars Derby,Football Match,Sports,Transcorp Hilton Events,Maitama,Abuja,Nigeria,9.067282,7.483591,2000,8,6,400,8,1.098,2023-12-15,Friday,4,12,Harmattan,17,15,19,2.2,0,0,1,1440,0.72,0.05,0.223,Heavy Rain,1.55,0.72,22.8,3,0.206,1.0,1.0,1.0,1.0,0,0,344,10.35,Low,76,328,21,0,,0,1,0,1.44,0.0,0.0,0.0,2.6507,0.42,0.794,7.2731,Evening
